Id,Littera,Rakennusosa,Paikka,Materiaali,Määrä,Yksikkö,KL,€/yks. mat.,€/yks. alih.,€/yks. kulj.,€/yks. konetyö,€yhteensa konetyö,€/yks. miestyö,€/yks,€/yks sis.kate,€yht
913,2131,Sitomaton kantava kerros KaM 0-32,Juolukkatie D 6753 007,kam0_32,85,m3rtr,53,12.37,0.00,8.00,10.00,850,4.00,34.37,41.1133,3494.63
933,13311,Murskearina sis. suodatinkangas N3,Luumutie D 3267 002,kam0_32,50,m3rtr,53,12.37,0.00,8.00,10.00,500,4.00,34.37,41.1133,2055.66
941,2131,Sitomaton kantava kerros KaM 0-32,Luumutie D 3267 002,kam0_32,108,m3rtr,53,12.37,0.00,8.00,10.00,1080,4.00,34.37,41.1133,4440.24
842,1151,Asfalttipäällysteen poisto kaatopaikalle,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,asf_poisto,25,m2tr,64,0.00,0.00,1.00,0.80,20,,1.80,2.252,56.3
868,1151,Asfalttipäällysteen poisto kaatopaikalle,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,asf_poisto,10,m2tr,64,0.00,0.00,1.00,0.80,8,,1.80,2.252,22.52
903,1151,Asfalttipäällysteen poisto kaatopaikalle,Juolukkatie D 6753 007,asf_poisto,727,m2tr,64,0.00,0.00,1.00,0.80,581.6,,1.80,2.252,1637.2
843,1621,Putkikaivannon kaivu sis. kaatopaikka maksun,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,savi,2380.5,m3ktr,65,0.00,3.78,8.00,6.00,14283,1.68,19.46,23.4014,55707.03
871,1621,Putkikaivannon kaivu sis. kaatopaikka maksun,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,savi,1525.5,m3ktr,65,0.00,3.78,8.00,6.00,9153,1.68,19.46,23.4014,35698.84
905,1621,Putkikaivannon kaivu sis. kaatopaikka maksun,Juolukkatie D 6753 007,savi,728.5,m3ktr,65,0.00,3.78,8.00,6.00,4371,1.68,19.46,23.4014,17047.92
935,1621,Putkikaivannon kaivu sis. kaatopaikka maksun,Luumutie D 3267 002,savi,1080.5,m3ktr,65,0.00,3.78,8.00,6.00,6483,1.68,19.46,23.4014,25285.21
844,16212,Kiinteistökatselmus,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,kiinteistokatselmus,18,kpl,58,300.00,0.00,0.00,,0,,300.00,327,5886
872,16212,Kiinteistökatselmus,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,kiinteistokatselmus,16,kpl,58,300.00,0.00,0.00,,0,,300.00,327,5232
906,16212,Kiinteistökatselmus,Juolukkatie D 6753 007,kiinteistokatselmus,7,kpl,58,300.00,0.00,0.00,,0,,300.00,327,2289
936,16212,Kiinteistökatselmus,Luumutie D 3267 002,kiinteistokatselmus,10,kpl,58,300.00,0.00,0.00,,0,,300.00,327,3270
