Id,Littera,Rakennusosa,Paikka,Materiaali,Määrä,Yksikkö,KL,€/yks. mat.,€/yks. alih.,€/yks. kulj.,€/yks. konetyö,€yhteensa konetyö,€/yks. miestyö,€/yks,€/yks sis.kate,€yht
713,2121,Jakava kerros,3.0-3.1 katu Nikkarintie,kam0_90,160,m3,53,9.45,0.00,4.00,8.71,1393.6,3.30,25.46,30.0522,4808.35
714,2121,Jakava kerros,6.2-6.21 katu Raimelantie,kam0_90,186,m3,53,9.45,0.00,4.00,8.71,1620.06,3.30,25.46,30.0522,5589.71
652,3132.8,ilmapoistokaivo,7.0-8.0,ilmanpoistokaivo,1,kpl,54,1000.00,0.00,0.00,61.00,61,110.00,1171.00,1272.66,1272.66
653,3132.4,palopostin poisto,7.0-8.0,palopostin poisto,2,kpl,65,0.00,0.00,0.00,61.00,122,66.00,127.00,155.58,311.16
654,3132.4,betonikaivon_sementtivuoraus,7.0-8.0,betonikaivon_sementtivuoraus,6,kpl,54,800.00,0.00,0.00,610.00,3660,660.00,2070.00,2411.78,14470.68
657,3113.4,Jateveden tarkastusputki,6.0-6.1 Ylätie,jvtp,16,kpl,54,110.00,0.00,0.00,20.33,325.28,47.14,177.47,196.4529,3143.25
658,3113.4,Jateveden tarkastusputki,3.0-3.1 Nikkarintie,jvtp,13,kpl,54,110.00,0.00,0.00,20.33,264.29,47.14,177.47,196.4529,2553.89
659,3113.4,Jateveden tarkastusputki,6.2-6.21 Raimelantie,jvtp,1,kpl,54,110.00,0.00,0.00,20.33,20.33,47.14,177.47,196.4529,196.45
672,3132.1,Talosulkuventtiili,6.0-6.1 Ylätie,vj_venttiili,16,kpl,54,0.00,0.00,0.00,,0,66.00,66.00,70.62,1129.92
673,3132.1,Talosulkuventtiili,3.0-3.1 Nikkarintie,vj_venttiili,13,kpl,54,0.00,0.00,0.00,,0,66.00,66.00,70.62,918.06
674,3132.1,Talosulkuventtiili,6.2-6.21 Raimelantie,vj_venttiili,1,kpl,54,0.00,0.00,0.00,,0,66.00,66.00,70.62,70.62
677,14210,Lämpöeriste 50 mm,6.0-6.1 Ylätie,lampoeriste_50,38,m2,51,7.00,0.00,0.00,,0,3.30,10.30,11.021,418.8
678,14210,Lämpöeriste 50 mm,3.0-3.1 Nikkarintie,lampoeriste_50,23,m2,51,7.00,0.00,0.00,,0,3.30,10.30,11.021,253.48
681,14210,Lämpöeriste 100 mm,3.0-3.1 Nikkarintie,lampoeriste_100,9,m2,51,13.00,0.00,0.00,,0,3.30,16.30,17.441,156.97
684,1837,Johtokaivantojen virtausulku,6.0-6.1 Ylätie,virtaussulku,1,kpl,65,0.00,0.00,0.00,61.00,61,33.00,94.00,120.27,120.27
685,1837,Johtokaivantojen virtausulku,3.0-3.1 Nikkarintie,virtaussulku,3,kpl,65,0.00,0.00,0.00,61.00,183,33.00,94.00,120.27,360.81
686,1837,Johtokaivantojen virtausulku,6.2-6.21 Raimelantie,virtaussulku,1,kpl,65,0.00,0.00,0.00,61.00,61,33.00,94.00,120.27,120.27
688,,Salaojan korjaus,6.0-6.1 Ylätie,salaojan_korjaus,1,kpl,53,0.00,0.00,0.00,244.00,244,132.00,376.00,481.07,481.07
689,,Salaojan korjaus,3.0-3.1 Nikkarintie,salaojan_korjaus,1,kpl,53,0.00,0.00,0.00,244.00,244,132.00,376.00,481.07,481.07
692,1631,Tuentaelementti,6.0-6.1 Ylätie,tuentaelementti,1210,m2,69,0.00,0.00,1.00,05.08,6146.8,2.20,8.28,10.4996,12704.52
693,1631,Tuentaelementti,3.0-3.1 Nikkarintie,tuentaelementti,1375,m2,69,0.00,0.00,1.00,05.08,6985,2.20,8.28,10.4996,14436.95
694,1631,Tuentaelementti,6.2-6.21 Raimelantie,tuentaelementti,465,m2,69,0.00,0.00,1.00,05.08,2362.2,2.20,8.28,10.4996,4882.31
697,2145.1,Sorapäällyste. KaM 0/12. 5 cm,6.0-6.1 katu Ylätie,sorapaallyste,1210,m2,57,0.70,0.00,0.25,1.74,2105.4,,2.69,3.4383,4160.34
698,2145.1,Sorapäällyste. KaM 0/12. 5 cm,3.0-3.1 katu Nikkarintie,sorapaallyste,400,m2,57,0.70,0.00,0.25,1.74,696,,2.69,3.4383,1375.32
699,2145.1,Sorapäällyste. KaM 0/12. 5 cm,6.2-6.21 katu Raimelantie,sorapaallyste,465,m2,57,0.70,0.00,0.25,1.74,809.1,,2.69,3.4383,1598.81
702,1151,Asfalttipäällysteen poisto. kaatopaikalle,6.0-6.1 katu Ylätie,asfaltin_poisto,1210,m2,65,0.00,0.00,0.80,0.68,822.8,,1.48,1.8036,2182.36
703,1151,Asfalttipäällysteen poisto. kaatopaikalle,3.0-3.1 katu Nikkarintie,asfaltin_poisto,400,m2,65,0.00,0.00,0.80,0.68,272,,1.48,1.8036,721.44
704,1151,Asfalttipäällysteen poisto. kaatopaikalle,6.2-6.21 katu Raimelantie,asfaltin_poisto,465,m2,65,0.00,0.00,0.80,0.68,316.2,,1.48,1.8036,838.67
717,21120,Suodatinkangas,6.0-6.1 katu Ylätie,suodatinkangas_n3,1210,m3,51,0.80,0.00,0.00,,0,0.33,1.13,1.2091,1463.01
718,21120,Suodatinkangas,3.0-3.1 katu Nikkarintie,suodatinkangas_n3,400,m3,51,0.80,0.00,0.00,,0,0.33,1.13,1.2091,483.64
719,21120,Suodatinkangas,6.2-6.21 katu Raimelantie,suodatinkangas_n3,465,m3,51,0.80,0.00,0.00,,0,0.33,1.13,1.2091,562.23
725,16110,Maaleikkaus,6.0-6.1 katu Ylätie,rakennekerrosten_poisto,484,m3,65,0.00,0.00,2.00,8.71,4215.64,2.20,12.91,16.6237,8045.87
726,16110,Maaleikkaus,3.0-3.1 katu Nikkarintie,rakennekerrosten_poisto,160,m3,65,0.00,0.00,2.00,8.71,1393.6,2.20,12.91,16.6237,2659.79
727,16110,Maaleikkaus,6.2-6.21 katu Raimelantie,rakennekerrosten_poisto,186,m3,65,0.00,0.00,2.00,8.71,1620.06,2.20,12.91,16.6237,3092.01
728,,Pylvään siirto,6.2-6.21 katu Raimelantie,pylvas_siirto,1,kpl,65,0.00,1000.00,0.00,122.00,122,66.00,1188.00,1310.54,1310.54
